Country,Happiness score
Finland,7.82100009918213
Denmark,7.63619995117188
Iceland,7.55749988555908
Switzerland,7.51160001754761
Netherlands,7.41489982604981
Luxembourg*,7.40399980545044
Sweden,7.38430023193359
Norway,7.36509990692139
Israel,7.36380004882813
New Zealand,7.19980001449585
Austria,7.16300010681152
Australia,7.16209983825684
Ireland,7.04080009460449
Germany,7.03410005569458
Canada,7.02510023117065
United States,6.97679996490479
United Kingdom,6.94250011444092
Czechia,6.9197998046875
Belgium,6.80499982833862
France,6.68669986724854
Bahrain,6.64690017700195
Slovenia,6.63009977340698
Costa Rica,6.58199977874756
United Arab Emirates,6.57600021362305
Saudi Arabia,6.52279996871948
Taiwan Province of China,6.51249980926514
Singapore,6.48019981384277
Romania,6.47700023651123
Spain,6.47629976272583
Uruguay,6.47359991073608
Italy,6.46670007705689
Kosovo,6.45510005950928
Malta,6.44689989089966
Lithuania,6.4456000328064
Slovakia,6.39069986343384
Estonia,6.3407998085022
Panama,6.30910015106201
Brazil,6.292799949646
Guatemala*,6.26219987869263
Kazakhstan,6.23409986495972
Cyprus,6.22090005874634
Latvia,6.18039989471436
Serbia,6.17799997329712
Chile,6.17180013656616
Nicaragua,6.1645998954773
Mexico,6.12760019302368
Croatia,6.12519979476929
Poland,6.12279987335205
El Salvador,6.11999988555908
Kuwait*,6.10610008239746
Hungary,6.0858998298645
Mauritius,6.07110023498535
Uzbekistan,6.06269979476929
Japan,6.03889989852905
Honduras,6.02209997177124
Portugal,6.01630020141602
Argentina,5.96700000762939
Greece,5.94820022583008
South Korea,5.93510007858276
Philippines,5.90360021591187
Thailand,5.89120006561279
Moldova,5.8568000793457
Jamaica,5.84959983825684
Kyrgyzstan,5.82849979400635
Belarus*,5.82149982452393
Colombia,5.78060007095337
Bosnia and Herzegovina,5.76800012588501
Mongolia,5.76070022583008
Dominican Republic,5.7371997833252
Malaysia,5.71129989624023
Bolivia,5.60029983520508
China,5.58529996871948
Paraguay,5.57829999923706
Peru,5.55910015106201
Montenegro,5.54680013656616
Ecuador,5.53329992294312
Vietnam,5.4850001335144
Turkmenistan*,5.47429990768433
North Cyprus*,5.46659994125366
Russia,5.45860004425049
Hong Kong S.A.R. of China,5.42479991912842
Armenia,5.39860010147095
Tajikistan,5.37709999084473
Nepal,5.37650012969971
Bulgaria,5.37090015411377
Libya*,5.3302001953125
Indonesia,5.23960018157959
Ivory Coast,5.23460006713867
North Macedonia,5.19899988174439
Albania,5.1988000869751
South Africa,5.1939001083374
Azerbaijan*,5.17339992523193
Gambia*,5.16359996795654
Bangladesh,5.15549993515015
Laos,5.14029979705811
Algeria,5.12230014801025
Liberia*,5.12150001525879
Ukraine,5.08409976959229
Congo,5.07520008087158
Morocco,5.05989980697632
Mozambique,5.04829978942871
Cameroon,5.04759979248047
Senegal,5.04610013961792
Niger*,5.00349998474121
Georgia,4.97319984436035
Gabon,4.95830011367798
Iraq,4.94089984893799
Venezuela,4.92549991607666
Guinea,4.89050006866455
Iran,4.88789987564087
Ghana,4.87200021743774
Turkey,4.74420022964478
Burkina Faso,4.67049980163574
Cambodia,4.64029979705811
Benin,4.62319993972778
Comoros*,4.60860013961792
Uganda,4.60260009765625
Nigeria,4.55200004577637
Kenya,4.54300022125244
Tunisia,4.51599979400635
Pakistan,4.51579999923706
Palestinian Territories*,4.48250007629395
Mali,4.47900009155273
Namibia,4.45940017700195
"Eswatini, Kingdom of*",4.39610004425049
Myanmar,4.39419984817505
Sri Lanka,4.3621997833252
Madagascar*,4.3390998840332
Egypt,4.28770017623901
Chad*,4.25080013275147
Ethiopia,4.24149990081787
Yemen*,4.19689989089966
Mauritania*,4.15259981155396
Jordan,4.15210008621216
Togo,4.11229991912842
India,3.77710008621216
Zambia,3.75979995727539
Malawi,3.75040006637573
Tanzania,3.70239996910095
Sierra Leone,3.57399988174438
Lesotho*,3.51180005073547
Botswana*,3.4711000919342
Rwanda*,3.2681999206543
Zimbabwe,2.9951000213623
Lebanon,2.95530009269714
Afghanistan,2.40380001068115
xx,
